iter	F1:use_weights=false	Logloss
0	0.4830035515	0.5809403197
1	0.5011013216	0.5174602829
2	0.5619834711	0.4797652401
3	0.5620338983	0.4518882171
4	0.532	0.4346201732
5	0.5694535879	0.4240552508
6	0.5620044402	0.4145013852
7	0.5722618276	0.4083134544
8	0.5820495646	0.4029049215
9	0.5918710111	0.3991244979
10	0.5953678474	0.3945252989
11	0.6034712951	0.3853822022
12	0.6054985094	0.382984167
13	0.605376701	0.3800532019
14	0.6019672131	0.3762305333
15	0.6037613489	0.3746495699
16	0.6020942408	0.371943853
17	0.6037987338	0.3697651688
18	0.6052459016	0.3663902471
19	0.6117336849	0.3604722411
20	0.6217927358	0.3542283702
21	0.6385135135	0.3440482712
22	0.6475017112	0.3377211586
23	0.6493150685	0.3348511992
24	0.6509240246	0.3296289614
25	0.6563573883	0.3269657443
26	0.6570247934	0.3259000773
27	0.6527682843	0.3248084222
28	0.6632195795	0.3180692877
29	0.6671299514	0.3143878163
30	0.6685275645	0.3132565128
31	0.6743859649	0.3064964476
32	0.670153417	0.3053899829
33	0.6699130435	0.303788035
34	0.6717716672	0.3014292705
35	0.6788346788	0.296235058
36	0.6802673233	0.2940320721
37	0.6850282486	0.2917371947
38	0.6866197183	0.2878065763
39	0.6906779661	0.2851663024
40	0.690870638	0.2833512598
41	0.6931536006	0.2801603445
42	0.6936744847	0.2785816282
43	0.6979055733	0.2761002978
44	0.6962699822	0.2743107354
45	0.6962699822	0.2733684688
46	0.7015297047	0.2691878889
47	0.7037830121	0.2672871753
48	0.7048710602	0.2653735431
49	0.7055873926	0.2636584416
50	0.7083333333	0.2622238408
51	0.7077363897	0.2613131154
52	0.7110157368	0.2595490795
53	0.7114765821	0.2584020081
54	0.7155699389	0.2556702075
55	0.7198555957	0.2538793527
56	0.7216196674	0.2513337335
57	0.7237128354	0.249128378
58	0.7237128354	0.248054962
59	0.7258181818	0.2461036443
60	0.7266763848	0.2446877685
61	0.7286652079	0.2432864409
62	0.7327239488	0.2410189977
63	0.7355734112	0.240049202
64	0.7373440939	0.2389136998
65	0.7351114359	0.2381127872
66	0.7398673545	0.2366910879
67	0.741697417	0.2352733039
68	0.7472283814	0.232958438
69	0.7470414201	0.2314994723
70	0.7481536189	0.23019932
71	0.7504634779	0.229028953
72	0.7512050426	0.2274934958
73	0.7531504818	0.2259053503
74	0.7534297367	0.2249702411
75	0.7543534642	0.2238945749
76	0.7574404762	0.2225669028
77	0.7594936709	0.2216760001
78	0.7622247107	0.2204524895
79	0.7610156833	0.2193242155
80	0.759672619	0.2184301721
81	0.7625792024	0.216451825
82	0.7642215569	0.214728537
83	0.7655430712	0.2133296247
84	0.7668665667	0.2125401951
85	0.769924812	0.2109636489
86	0.7703313253	0.2101718734
87	0.7703313253	0.2094364484
88	0.7698084867	0.2085673979
89	0.7696354754	0.2075159521
90	0.7716654107	0.2057069492
91	0.7732930969	0.2049391071
92	0.7747543462	0.2042695858
93	0.7753869385	0.2032696283
94	0.7764350453	0.2022089727
95	0.7789553369	0.2004571831
96	0.7779456193	0.1993508926
97	0.7815221507	0.1975794315
98	0.7830045524	0.1967243126
99	0.7817836812	0.1956537392
100	0.7819148936	0.1951073924
101	0.7859862909	0.1918392096
102	0.7888507064	0.1909287317
103	0.7883880825	0.1898308644
104	0.7891520244	0.1890889397
105	0.7902178066	0.1884227059
106	0.7931034483	0.1872454029
107	0.7938579655	0.1854773627
108	0.7950882579	0.184902268
109	0.798923491	0.1833562388
110	0.7970847718	0.1819756847
111	0.797696737	0.1813824038
112	0.7992307692	0.1808904912
113	0.8003078107	0.1803013789
114	0.8	0.1796399953
115	0.8	0.1790973578
116	0.8009223674	0.1786882237
117	0.8021555042	0.1778707923
118	0.8032345013	0.1770927192
119	0.8027681661	0.1766791947
120	0.8047747401	0.1753642877
121	0.8047839506	0.1747355417
122	0.8074102663	0.1739648407
123	0.808182169	0.173061328
124	0.8086419753	0.172259396
125	0.8116054159	0.1714611577
126	0.8113134444	0.1705731007
127	0.8133488553	0.1698576473
128	0.815881666	0.1687914896
129	0.8161678974	0.1678954891
130	0.8153607448	0.1671808305
131	0.8157076205	0.1667379351
132	0.8139805825	0.1662507348
133	0.8157076205	0.1656766286
134	0.8174386921	0.1647025417
135	0.8164852255	0.1638055878
136	0.8176149649	0.1625162382
137	0.8179337232	0.1618410513
138	0.8179337232	0.1612615101
139	0.8198127925	0.1605786689
140	0.8236677116	0.1597760599
141	0.8239905919	0.1591498488
142	0.8244994111	0.1583756201
143	0.8261211644	0.1578503709
144	0.8267716535	0.1572487077
145	0.8293259756	0.1562576913
146	0.8280204644	0.1554892504
147	0.8275049116	0.1551497417
148	0.8282907662	0.1545998049
149	0.8290766208	0.1540646803
150	0.8297286669	0.1537800028
151	0.8307086614	0.1532026892
152	0.8300550747	0.152945076
153	0.8303817395	0.1523379894
154	0.8316286389	0.1517665235
155	0.8326112643	0.1512651108
156	0.8338582677	0.1506478755
157	0.834317198	0.1500609408
158	0.8382004736	0.1492270469
159	0.8393987342	0.1484260017
160	0.8403960396	0.1477400068
161	0.8401898734	0.1470717739
162	0.8411881188	0.1467156753
163	0.8415213946	0.1463981427
164	0.8406484777	0.1458682252
165	0.8409810127	0.1456140633
166	0.841980198	0.1451200529
167	0.8438985737	0.1445826114
168	0.8451151708	0.1439976649
169	0.8442330559	0.1432984734
170	0.8449028163	0.1429361798
171	0.8472553699	0.1424489259
172	0.8460007959	0.1416744743
173	0.8460007959	0.1411467326
174	0.8476874003	0.1406328613
175	0.8480255285	0.1402028747
176	0.8488232948	0.1396346616
177	0.8491620112	0.139318362
178	0.8506389776	0.1387205189
179	0.8537074148	0.1379736806
180	0.8523409364	0.1373616474
181	0.8572577402	0.136719832
182	0.8562248996	0.1363964273
183	0.8538245895	0.1359759175
184	0.8555377207	0.1353114936
185	0.8556535686	0.1350414239
186	0.8546255507	0.13472482
187	0.8544	0.1342859471
188	0.857486953	0.1335798907
189	0.8585209003	0.133075182
190	0.8581759743	0.1327275358
191	0.8587479936	0.1322774412
192	0.8579454254	0.1318861295
193	0.8561122244	0.1314870533
194	0.8578313253	0.1311005371
195	0.8589795098	0.1307113502
196	0.8614020951	0.1303073676
197	0.8638383838	0.1297477022
198	0.8645369996	0.1293579564
199	0.8631408962	0.1288789217
200	0.8637096774	0.1284264838
201	0.8658043654	0.1280228199
202	0.8668555241	0.1276940566
203	0.8685064935	0.1271413923
204	0.8682610458	0.126633515
205	0.8689655172	0.1263984462
206	0.8702724685	0.1258011366
207	0.8714401953	0.1253992505
208	0.8714401953	0.1250606986
209	0.8717948718	0.1245047437
210	0.8706265256	0.1242127205
211	0.8716904277	0.1238655445
212	0.8713355049	0.1233657933
213	0.8716904277	0.1228563675
214	0.8716904277	0.1226842325
215	0.8724011415	0.1223025603
216	0.8732164696	0.1219561734
217	0.8746427113	0.1215035397
218	0.8768916155	0.1205235381
219	0.8761749081	0.1202502823
220	0.8768916155	0.119902059
221	0.8772504092	0.119576667
222	0.8775092175	0.1191368467
223	0.8783285539	0.1187999331
224	0.8786885246	0.1185801848
225	0.8786885246	0.1180953113
226	0.8801313629	0.1178002423
227	0.8790487905	0.1174935157
228	0.8790487905	0.1172261018
229	0.8801313629	0.1167201046
230	0.8804928131	0.116455119
231	0.8808545604	0.1158727293
232	0.8808545604	0.1154555836
233	0.881216605	0.115218553
234	0.8800328677	0.1149143975
235	0.8800328677	0.1147062347
236	0.8796714579	0.1143852253
237	0.8796714579	0.1140048457
238	0.8808545604	0.1134839996
