iter	Passed	Remaining
0	4	1623
1	8	1669
2	12	1665
3	17	1689
4	21	1693
5	25	1688
6	30	1694
7	34	1685
8	38	1681
9	42	1671
10	46	1662
11	51	1657
12	55	1637
13	58	1623
14	63	1626
15	67	1617
16	71	1618
17	76	1616
18	80	1616
19	84	1607
20	88	1596
21	92	1596
22	97	1595
23	101	1594
24	105	1589
25	111	1602
26	115	1596
27	119	1588
28	123	1584
29	128	1579
30	132	1578
31	136	1573
32	141	1569
33	145	1567
34	150	1568
35	154	1566
36	159	1566
37	163	1562
38	168	1560
39	172	1556
40	177	1554
41	181	1547
42	185	1541
43	189	1535
44	194	1531
45	198	1525
46	202	1517
47	206	1513
48	209	1503
49	213	1495
50	217	1488
51	221	1484
52	226	1480
53	229	1472
54	233	1465
55	237	1460
56	241	1454
57	245	1447
58	249	1440
59	252	1432
60	256	1424
61	260	1417
62	263	1409
63	267	1405
64	271	1400
65	275	1393
66	278	1386
67	282	1379
68	286	1375
69	290	1368
70	294	1363
71	297	1356
72	301	1349
73	304	1343
74	308	1336
75	311	1329
76	315	1323
77	319	1320
78	323	1313
79	326	1307
80	330	1301
81	334	1296
82	337	1288
83	341	1283
84	345	1280
85	349	1275
86	353	1272
87	357	1266
88	360	1260
89	363	1253
90	367	1248
91	371	1242
92	374	1237
93	378	1231
94	382	1228
95	387	1225
96	391	1222
97	395	1220
98	401	1220
99	405	1216
100	409	1212
101	414	1209
102	418	1205
103	422	1201
104	426	1197
105	430	1192
106	434	1190
107	438	1186
108	443	1183
109	447	1180
110	452	1178
111	456	1173
112	461	1172
113	465	1168
114	469	1164
115	474	1161
116	478	1157
117	482	1153
118	486	1149
119	490	1145
120	495	1141
121	499	1138
122	503	1134
123	508	1130
124	512	1127
125	517	1124
126	521	1121
127	526	1118
128	530	1115
129	535	1111
130	539	1107
131	543	1103
132	548	1101
133	552	1097
134	556	1093
135	561	1089
136	565	1085
137	569	1081
138	573	1076
139	577	1073
140	581	1068
141	585	1063
142	589	1059
143	593	1055
144	597	1050
145	601	1046
146	605	1042
147	609	1038
148	613	1033
149	617	1029
150	621	1024
151	625	1020
152	628	1015
153	632	1010
154	636	1005
155	640	1001
156	643	996
157	647	991
158	651	987
159	655	982
160	658	977
161	662	972
162	665	967
163	669	963
164	673	958
165	676	953
166	680	948
167	684	944
168	688	940
169	691	935
170	695	931
171	699	927
172	703	923
173	707	918
174	711	915
175	715	910
176	720	907
177	723	902
178	727	897
179	730	893
180	735	889
181	739	885
182	743	881
183	746	876
184	750	872
185	754	867
186	758	863
187	762	859
188	766	856
189	770	851
190	774	847
191	778	843
192	782	839
193	786	835
194	791	832
195	796	828
196	800	825
197	805	821
198	809	817
199	813	813
200	818	810
201	822	806
202	827	802
203	832	799
204	836	795
205	841	792
206	845	788
207	849	784
208	854	780
209	858	776
210	862	772
211	866	768
212	869	763
213	872	758
214	876	754
215	880	749
216	884	745
217	888	741
218	892	737
219	895	733
220	899	728
221	903	724
222	908	720
223	912	716
224	916	713
225	921	709
226	926	705
227	930	701
228	934	698
229	939	694
230	943	690
231	948	686
232	952	682
233	956	678
234	960	674
235	965	670
236	969	666
237	973	662
238	978	659
239	982	655
240	986	650
241	991	647
242	995	643
243	999	638
244	1003	635
245	1007	630
246	1012	627
247	1016	623
248	1020	619
249	1025	615
250	1029	611
251	1033	606
252	1038	603
253	1042	599
254	1046	595
255	1050	591
256	1055	587
257	1058	582
258	1062	578
259	1065	573
260	1069	569
261	1073	565
262	1077	561
263	1081	557
264	1085	553
265	1089	548
266	1093	544
267	1096	540
268	1100	535
269	1104	531
270	1108	527
271	1111	523
272	1116	519
273	1120	515
274	1123	510
275	1126	506
276	1130	501
277	1133	497
278	1137	493
279	1140	488
280	1144	484
281	1148	480
282	1151	476
283	1155	471
284	1159	467
285	1162	463
286	1167	459
287	1170	455
288	1174	451
289	1178	446
290	1182	442
291	1185	438
292	1189	434
293	1194	430
294	1198	426
295	1202	422
296	1207	418
297	1211	414
298	1215	410
299	1219	406
300	1223	402
301	1227	398
302	1231	394
303	1235	390
304	1239	386
305	1244	382
306	1248	378
307	1252	374
308	1256	370
309	1261	366
310	1265	362
311	1270	358
312	1274	354
313	1278	350
314	1283	346
315	1287	342
316	1291	338
317	1294	333
318	1298	329
319	1302	325
320	1306	321
321	1310	317
322	1315	313
323	1319	309
324	1324	305
325	1328	301
326	1332	297
327	1336	293
328	1341	289
329	1345	285
330	1349	281
331	1353	277
332	1357	273
333	1362	269
334	1366	265
335	1371	261
336	1375	257
337	1381	253
338	1385	249
339	1389	245
340	1393	241
341	1397	236
342	1401	232
343	1405	228
344	1409	224
345	1414	220
346	1418	216
347	1422	212
348	1426	208
349	1430	204
350	1435	200
351	1439	196
352	1442	192
353	1446	187
354	1450	183
355	1454	179
356	1458	175
357	1463	171
358	1467	167
359	1472	163
360	1476	159
361	1480	155
362	1485	151
363	1489	147
364	1493	143
365	1497	139
366	1501	135
367	1505	130
368	1509	126
369	1514	122
370	1518	118
371	1522	114
372	1526	110
373	1530	106
374	1535	102
375	1539	98
376	1543	94
377	1547	90
378	1551	85
379	1555	81
380	1559	77
381	1562	73
382	1566	69
383	1569	65
384	1573	61
385	1577	57
386	1580	53
387	1584	49
388	1588	44
389	1591	40
390	1595	36
391	1599	32
392	1604	28
393	1607	24
394	1612	20
395	1616	16
396	1620	12
397	1623	8
398	1628	4
399	1632	0
